Unique_id,Symbol,Company_name,GIC_sector,GIC_industry_group,GIC_Industry,GIC_Subindustry,Address,ESG_pulse,ESG_beta,SNP,SNP-environmental,SNP-environmental industry mean,SNP-social,SNP-social industry mean,SNP-governance,SNP governance industry mean,Sustainalytics,MSCI,SNP_normalized,Sustainalytics_normalized,MSCI_normalized,Company (long) name,Exchange,Average volume,Market cap,Current price,Debt-to-equity,Trailing P/E,Forward P/E,52-week low,52-week high,52-week change,Shares outstanding,PEG ratio,Price-to-book,Return on equity,Trailing Price-to-sales,Average volume,Market cap,Full-time Employees,isin,cusip,Securities_type,Currency_code,url
190179,MMM,3M Company,Industrials,Capital Goods_2010,Industrial_Conglomerates_201050,Industrial Conglomerates,"3M Center, St. Paul, MN, United States, 55144",-0.083992,0.010832,67,,,,,,,32.2,AAA,67,80.5,99.96,3M Company,New York Stock Exchange,5154093,55762190336,100.77,451.166,,12.91923,71.36288,106.04,0.18774927,553361024,-2.69,11.458949,-0.69286,1.7077203,5154093,55762190336,85000,US88579Y1010,88579Y101,Common Stock,USD,http://www.3m.com
191352,AMZN,"Amazon.com, Inc",Consumer Discretionary,Consumer Discretionary Distribution & Retail_2550,Broadline Retail_255030,Internet & Direct Marketing Retail,"410 Terry Avenue North, Seattle, WA, United States, 98109-5210",-0.070006,-0.290638,,24,22,22,23,29,27,,,,,,"Amazon.com, Inc.",Nasdaq,38309514,1.90243E+12,182.81,74.107,51.351124,31.737846,118.35,191.7,0.4644717,10406599680,1.32,8.777549,0.20305,3.2204194,38309514,1.90243E+12,1525000,US0231351067,023135106,Common Stock,USD,http://www.amazon.com
189866,AXP,American Express Company,Financials,Financial Services_4020,Consumer Finance_402020,Consumer Finance,"200 Vesey Street, New York, NY, United States, 10285",0.163157,0.074574,37,37,21,34,23,41,29,18.9,AA,37,47.25,85.68,American Express Company,New York Stock Exchange,2859561,1.64943E+11,229.31,176.425,18.90437,15.400269,140.91,244.41,0.3655908,719302976,1.17,5.73189,0.32854998,2.8989308,2859561,1.64943E+11,74600,US0258161092,025816109,Common Stock,USD,http://www.americanexpress.com
191511,AMGN,Amgen Inc,Health Care,"Pharmaceutivals, Biotechnology & Life Sciences_3520",Biotechnology_352010,Biotechnology,"One Amgen Center Drive, Thousand Oaks, CA, United States, 91320-1799",-0.214992,-0.109027,54,56,12,48,23,46,29,22,AA,54,55,85.68,Amgen Inc.,Nasdaq,2441039,1.64144E+11,305.99,1274.791,43.650497,14.9555235,218.44,329.72,0.34773612,536435008,2.87,32.684254,0.72574997,5.5581656,2441039,1.64144E+11,26700,US0311621009,031162100,Common Stock,USD,http://www.amgen.com
191469,AAPL,Apple Inc,Information Technology,Technology Hardware & Equipment_4520,"Technology Hardware, Storage & Peripherals_452020","Technology Hardware, Storage & Peripherals","One Apple Park Way, Cupertino, CA, United States, 95014",-0.084335,0.191458,37,66,42,46,38,42,38,16.4,BBB,37,41,57.12,Apple Inc.,Nasdaq,65173339,3.28594E+12,214.29,140.968,33.326595,29.435438,164.08,220.2,0.16487277,15334099968,3.1,44.302254,1.4725,8.610445,65173339,3.28594E+12,150000,US0378331005,037833100,Common Stock,USD,http://www.apple.com
190569,CAT,Caterpillar Inc,Industrials,Capital Goods_2010,Machinery_201060,Construction Machinery & Heavy Trucks,"510 Lake Cook Road, Deerfield, IL, United States, 60015",-0.206988,0.302691,69,49,27,45,28,53,29,39.1,A,69,97.75,71.4,Caterpillar Inc.,New York Stock Exchange,2703574,1.59011E+11,325.14,214.525,14.685637,14.260528,223.76,382.01,0.34644687,489052992,2.16,9.01889,0.62789,2.3734004,2703574,1.59011E+11,113200,US1491231015,149123101,Common Stock,USD,http://www.caterpillar.com
191290,CVX,Chevron Corporation,Energy,Energy_1010,"Oil, Gas & Consumable Fuels_101020",Integrated Oil & Gas,"6001 Bollinger Canyon Road, San Ramon, CA, United States, 94583-2324",0.213202,-0.001706,81,41,34,51,32,34,38,36.5,A,81,91.25,71.4,Chevron Corporation,New York Stock Exchange,7118644,2.8041E+11,153.33,13.507,14.105796,10.744919,139.62,171.7,-0.010007739,1828800000,2.57,1.7631232,0.12641,1.4545138,7118644,2.8041E+11,45600,US1667641005,166764100,Common Stock,USD,http://www.chevron.com
191127,CSCO,"Cisco Systems, Inc",Information Technology,Technology Hardware & Equipment_4520,Communications equipment_452010,Communications Equipment,"170 West Tasman Drive, San Jose, CA, United States, 95134",-0.028133,-0.133457,78,80,29,55,27,63,29,12.4,AA,78,31,85.68,"Cisco Systems, Inc.",Nasdaq,18687734,1.85204E+11,45.97,72.57,15.530406,12.949296,44.95,58.19,-0.095968544,4028809984,7.44,4.0487933,0.27517,3.3452132,18687734,1.85204E+11,84900,US17275R1023,17275R102,Common Stock,USD,http://www.cisco.com
190188,DOW,Dow Inc,Materials,Materials_1510,Chemicals_151010,Commodity Chemicals,"2211 H.H. Dow Way, Midland, MI, United States, 48674",0.299794,0.300857,77,85,34,75,32,71,31,24.1,,77,60.25,,Dow Inc.,New York Stock Exchange,4069169,38985740288,55.44,94.169,33,13.137441,47.26,60.69,0.06861985,703206016,0.66,2.1159496,0.06414,0.89548284,4069169,38985740288,35900,US2605571031,260557103,Common Stock,USD,http://www.dow.com
204141,GSBD,"Goldman Sachs BDC, Inc",Financials,Financial Services_4020,Capital Markets_402030,Asset Management & Custody Banks,"200 West Street, New York, NY, United States, 10282",0.335582,,,46,21,31,23,39,29,,,,,,"Goldman Sachs BDC, Inc.",New York Stock Exchange,615693,1742823168,15.53,112.209,8.046632,7.923469,13.35,15.94,0.101418495,112223000,-3.14,1.0670606,0.13092,3.796562,615693,1742823168,,US38147U1079,38147U107,Common Stock,USD,http://www.goldmansachsbdc.com/content/gsam/us/en/
190841,HON,Honeywell International Inc,Industrials,Capital Goods_2010,Industrial_Conglomerates_201050,Industrial Conglomerates,"300 South Tryon Street, Charlotte, NC, United States, 28202",0.292046,-0.009915,31,38,33,39,35,32,34,28.6,AA,31,71.5,85.68,Honeywell International Inc.,New York Stock Exchange,2681984,1.38618E+11,212.87,154.551,24.694895,19.074373,174.88,213.23,0.0548563,651185984,2.24,8.424489,0.33198002,3.7562792,2681984,1.38618E+11,95000,US4385161066,438516106,Common Stock,USD,http://www.honeywell.com
190767,INTC,Intel Corporation,Information Technology,Semiconductors & Semiconductor Equipment_4530,Semiconductors & Semiconductor Equipment_453010,Semiconductors,"2200 Mission College Boulevard, Santa Clara, CA, United States, 95054-1549",0.293446,0.027216,68,65,33,57,31,58,31,18.9,AA,68,47.25,85.68,Intel Corporation,Nasdaq,48842966,1.30388E+11,30.63,47.356,31.577318,15.707691,29.73,51.28,-0.068996966,4256869888,0.71,1.230417,0.03794,2.3605177,48842966,1.30388E+11,130700,US4581401001,458140100,Common Stock,USD,http://www.intel.com
